time	x_norm	y_norm
0.000	0.662	0.369
0.036	0.661	0.365
0.068	0.660	0.362
0.100	0.668	0.365
0.136	0.711	0.374
0.268	0.573	0.460
0.368	0.557	0.448
0.400	0.550	0.451
0.436	0.547	0.453
0.468	0.546	0.446
0.500	0.545	0.443
0.536	0.543	0.442
0.568	0.492	0.396
0.600	0.492	0.392
0.636	0.493	0.397
0.668	0.495	0.399
0.700	0.494	0.397
0.736	0.493	0.395
0.768	0.494	0.397
0.800	0.493	0.395
0.836	0.493	0.391
0.868	0.494	0.386
0.900	0.495	0.384
0.936	0.495	0.382
0.968	0.496	0.381
1.000	0.494	0.379
1.036	0.494	0.380
1.068	0.494	0.377
1.100	0.494	0.374
1.136	0.493	0.377
1.168	0.491	0.377
1.200	0.494	0.374
1.236	0.495	0.380
1.268	0.498	0.384
1.300	0.497	0.384
1.336	0.477	0.357
1.368	0.479	0.359
1.400	0.481	0.365
1.436	0.482	0.366
1.468	0.481	0.366
1.500	0.485	0.366
1.536	0.483	0.367
1.568	0.484	0.367
1.600	0.485	0.368
1.636	0.487	0.369
1.668	0.489	0.367
1.736	0.512	0.491
1.968	0.570	0.425
2.000	0.563	0.441
2.036	0.558	0.447
2.068	0.554	0.461
2.100	0.554	0.465
2.136	0.524	0.498
2.168	0.519	0.474
2.200	0.512	0.466
2.236	0.507	0.460
2.268	0.505	0.445
2.300	0.499	0.431
2.336	0.494	0.420
2.368	0.487	0.413
2.400	0.478	0.416
2.468	0.462	0.442
2.500	0.457	0.444
2.536	0.455	0.445
2.568	0.453	0.450
2.600	0.452	0.447
2.636	0.450	0.437
2.668	0.449	0.429
2.700	0.450	0.427
2.736	0.453	0.423
2.768	0.457	0.415
2.800	0.457	0.418
2.836	0.459	0.411
2.868	0.462	0.409
2.900	0.464	0.404
2.936	0.465	0.405
2.968	0.465	0.401
3.000	0.465	0.397
3.036	0.462	0.399
3.068	0.461	0.400
3.100	0.461	0.402
3.136	0.460	0.401
3.168	0.465	0.406
3.200	0.463	0.403
3.236	0.463	0.405
3.268	0.466	0.406
3.300	0.487	0.397
3.336	0.525	0.401
3.368	0.528	0.398
3.400	0.530	0.402
3.436	0.532	0.394
3.468	0.531	0.393
3.668	0.590	0.387
3.736	0.579	0.383
3.768	0.570	0.377
3.800	0.566	0.371
3.868	0.566	0.400
3.900	0.567	0.405
3.936	0.567	0.409
3.968	0.569	0.406
4.000	0.568	0.401
4.036	0.569	0.401
4.068	0.570	0.399
4.100	0.572	0.393
4.136	0.573	0.389
4.168	0.573	0.387
4.200	0.575	0.382
4.236	0.577	0.378
4.268	0.614	0.364
4.368	0.658	0.365
4.400	0.661	0.365
4.436	0.660	0.363
4.468	0.752	0.338
4.500	0.785	0.321
4.536	0.787	0.311
4.568	0.791	0.311
4.600	0.791	0.314
4.636	0.794	0.317
4.668	0.796	0.315
4.700	0.798	0.314
4.736	0.797	0.316
4.768	0.782	0.342
4.800	0.782	0.342
