time	x_norm	y_norm
0.000	0.423	0.520
0.068	0.419	0.524
0.100	0.472	0.507
0.132	0.485	0.508
0.168	0.483	0.505
0.200	0.484	0.503
0.232	0.485	0.507
0.268	0.485	0.514
0.300	0.482	0.515
0.332	0.481	0.521
0.400	0.529	0.520
0.432	0.528	0.522
0.468	0.529	0.524
0.500	0.531	0.528
0.532	0.532	0.527
0.568	0.531	0.529
0.600	0.531	0.528
0.668	0.577	0.524
0.700	0.574	0.529
0.732	0.577	0.528
0.768	0.578	0.525
0.800	0.579	0.524
0.832	0.463	0.526
0.868	0.402	0.526
0.932	0.394	0.525
0.968	0.392	0.532
1.000	0.390	0.537
1.032	0.388	0.541
1.068	0.386	0.545
1.100	0.347	0.531
1.132	0.355	0.540
1.168	0.356	0.541
1.200	0.357	0.528
1.232	0.359	0.525
1.268	0.357	0.513
1.400	0.024	0.062
1.432	0.032	0.071
1.468	0.034	0.071
1.500	0.038	0.077
1.568	0.042	0.077
1.600	0.042	0.076
1.632	0.042	0.080
1.668	0.043	0.080
1.900	0.367	0.483
1.932	0.363	0.477
1.968	0.357	0.470
2.000	0.350	0.457
2.032	0.348	0.456
2.068	0.352	0.458
2.132	0.409	0.497
2.168	0.409	0.491
2.200	0.406	0.493
2.232	0.403	0.490
2.268	0.402	0.481
2.300	0.405	0.476
2.332	0.403	0.470
2.368	0.405	0.462
2.400	0.404	0.463
2.432	0.404	0.463
2.500	0.437	0.451
2.532	0.436	0.457
2.568	0.440	0.455
2.600	0.440	0.457
2.632	0.442	0.457
2.664	0.442	0.451
2.700	0.443	0.453
2.764	0.499	0.441
2.800	0.493	0.446
2.832	0.487	0.447
2.864	0.482	0.451
2.900	0.483	0.462
2.932	0.485	0.468
2.964	0.490	0.474
3.000	0.491	0.473
3.032	0.493	0.472
3.064	0.494	0.472
3.100	0.493	0.473
3.132	0.496	0.470
3.164	0.493	0.470
3.200	0.493	0.467
3.232	0.491	0.463
3.264	0.490	0.465
3.300	0.492	0.462
3.332	0.494	0.464
3.364	0.492	0.469
3.400	0.495	0.472
3.432	0.496	0.478
3.464	0.494	0.480
3.500	0.492	0.476
3.532	0.443	0.445
3.564	0.352	0.449
3.632	0.345	0.462
3.664	0.343	0.467
3.700	0.349	0.462
3.732	0.389	0.431
3.900	0.383	0.498
3.932	0.373	0.508
3.964	0.367	0.508
4.000	0.362	0.504
4.032	0.357	0.503
4.064	0.353	0.502
4.100	0.351	0.496
4.132	0.350	0.496
4.164	0.349	0.496
4.200	0.347	0.492
4.232	0.345	0.490
4.264	0.342	0.492
4.300	0.340	0.493
4.332	0.337	0.491
4.364	0.335	0.484
4.400	0.336	0.479
4.432	0.338	0.480
4.464	0.339	0.476
4.500	0.339	0.480
4.532	0.339	0.478
4.564	0.336	0.479
4.600	0.336	0.481
4.664	0.325	0.409
4.700	0.323	0.409
4.732	0.325	0.408
4.764	0.329	0.404
4.800	0.330	0.400
4.832	0.334	0.398
4.864	0.334	0.400
4.900	0.333	0.401
4.932	0.330	0.402
4.964	0.330	0.401
5.000	0.329	0.400
5.032	0.353	0.430
5.064	0.367	0.456
5.100	0.365	0.459
5.132	0.364	0.471
5.164	0.362	0.473
5.200	0.363	0.475
5.232	0.366	0.478
5.264	0.392	0.467
5.464	0.691	0.507
5.532	0.677	0.499
5.564	0.672	0.497
5.600	0.671	0.493
