time	x_norm	y_norm
0.000	0.465	0.710
0.036	0.467	0.708
0.136	0.469	0.705
0.468	0.415	0.664
0.636	0.409	0.669
0.700	0.416	0.667
0.936	0.479	0.724
0.968	0.469	0.721
1.000	0.471	0.714
1.036	0.466	0.703
1.300	0.966	0.594
1.336	0.966	0.592
1.400	0.971	0.592
1.436	0.971	0.594
1.668	0.975	0.625
2.036	1.045	0.637
2.100	1.047	0.639
2.136	1.048	0.643
2.268	0.524	0.631
2.336	0.526	0.644
2.600	0.523	0.645
2.636	0.517	0.643
2.668	0.514	0.642
2.700	0.512	0.642
2.736	0.511	0.639
2.800	0.506	0.624
2.836	0.512	0.510
2.868	0.513	0.505
2.900	0.513	0.508
2.936	0.513	0.511
2.968	0.511	0.515
3.000	0.511	0.516
3.036	0.602	0.496
3.068	0.604	0.497
3.100	0.602	0.498
3.136	0.603	0.499
3.200	0.602	0.501
3.236	0.598	0.488
3.268	0.535	0.103
3.300	0.544	0.070
3.336	0.546	0.071
3.368	0.548	0.075
3.400	0.550	0.075
3.436	0.546	0.061
3.500	0.542	0.033
3.536	0.542	0.029
3.568	0.544	0.026
3.600	0.544	0.027
3.636	0.544	0.028
3.668	0.571	0.038
3.868	0.459	0.469
3.900	0.454	0.467
3.936	0.449	0.461
3.968	0.447	0.462
4.000	0.414	0.516
4.036	0.414	0.516
4.068	0.413	0.512
4.100	0.412	0.511
4.136	0.413	0.513
4.168	0.413	0.512
4.200	0.413	0.512
4.236	0.411	0.515
4.268	0.412	0.513
4.300	0.386	0.519
4.336	0.387	0.518
4.368	0.387	0.520
4.400	0.386	0.519
4.436	0.387	0.522
4.468	0.387	0.524
4.500	0.385	0.521
4.536	0.384	0.524
4.568	0.385	0.524
4.600	0.384	0.520
4.636	0.384	0.521
4.668	0.383	0.525
4.700	0.383	0.531
4.736	0.384	0.527
4.768	0.385	0.528
4.800	0.386	0.529
4.836	0.385	0.530
4.868	0.386	0.528
4.900	0.386	0.529
4.936	0.385	0.532
5.000	0.386	0.530
5.036	0.385	0.528
5.068	0.387	0.531
5.100	0.387	0.531
5.136	0.386	0.530
5.168	0.386	0.529
5.200	0.388	0.529
5.236	0.388	0.529
5.268	0.388	0.527
5.300	0.388	0.526
5.336	0.387	0.523
5.368	0.385	0.526
5.400	0.385	0.525
5.436	0.385	0.525
5.468	0.386	0.525
5.500	0.387	0.524
5.536	0.387	0.523
5.568	0.387	0.531
5.600	0.387	0.530
5.636	0.389	0.531
5.668	0.388	0.532
5.700	0.388	0.533
5.736	0.387	0.536
5.768	0.389	0.534
5.800	0.407	0.511
5.968	0.465	0.589
6.036	0.452	0.571
6.068	0.448	0.564
6.100	0.451	0.559
6.136	0.548	0.543
6.168	0.545	0.540
6.200	0.543	0.539
6.236	0.541	0.538
6.268	0.541	0.538
6.300	0.540	0.536
6.336	0.537	0.537
6.368	0.618	0.531
6.436	0.615	0.533
6.468	0.613	0.533
6.500	0.612	0.533
6.536	0.612	0.534
6.568	0.688	0.530
6.600	0.689	0.530
6.636	0.688	0.527
