time	x_norm	y_norm
0.000	0.537	0.234
0.036	0.537	0.229
0.100	0.526	0.198
0.236	0.536	0.245
0.300	0.542	0.251
0.336	0.543	0.258
0.368	0.538	0.263
0.400	0.499	0.273
0.436	0.468	0.279
0.468	0.462	0.280
0.500	0.466	0.273
0.668	0.489	0.332
0.700	0.469	0.340
0.736	0.458	0.312
0.768	0.446	0.343
0.800	0.443	0.348
0.836	0.442	0.313
0.868	0.438	0.345
0.936	0.439	0.341
1.000	0.448	0.340
1.036	0.446	0.323
1.068	0.445	0.318
1.100	0.442	0.322
1.136	0.444	0.328
1.168	0.454	0.293
1.336	0.488	0.377
1.368	0.478	0.391
1.468	0.459	0.406
1.500	0.457	0.405
1.536	0.454	0.403
1.568	0.455	0.397
1.636	0.488	0.364
1.668	0.489	0.366
1.736	0.485	0.371
1.768	0.485	0.371
1.800	0.487	0.368
1.836	0.676	-0.017
1.868	0.695	-0.042
1.900	0.697	-0.041
1.936	0.700	-0.039
1.968	0.700	-0.034
2.000	0.697	-0.030
2.036	0.659	0.026
2.068	0.534	0.291
2.100	0.531	0.283
2.136	0.530	0.278
2.168	0.527	0.283
2.200	0.528	0.284
2.236	0.526	0.288
2.268	0.527	0.288
2.300	0.546	0.261
2.636	0.542	0.170
2.668	0.576	0.177
2.800	0.576	0.107
2.836	0.907	-0.154
2.868	0.924	-0.168
2.900	0.931	-0.168
2.936	0.939	-0.171
2.968	0.944	-0.177
3.000	0.945	-0.177
3.036	0.654	0.198
3.100	0.493	0.353
3.168	0.493	0.357
3.236	0.490	0.350
3.268	0.488	0.347
3.300	0.491	0.353
3.368	0.495	0.348
3.400	0.497	0.342
3.436	0.590	0.335
3.468	0.591	0.332
3.500	0.589	0.329
3.536	0.586	0.326
3.668	0.581	0.301
3.700	0.590	0.293
3.736	0.593	0.283
3.768	0.599	0.285
3.900	0.600	0.291
4.268	0.555	0.318
4.300	0.549	0.313
4.336	0.543	0.315
4.368	0.537	0.314
4.400	0.535	0.313
4.436	0.577	0.290
4.500	0.580	0.320
4.536	0.576	0.330
4.568	0.575	0.335
4.600	0.572	0.345
4.636	0.566	0.351
4.668	0.563	0.357
4.700	0.560	0.358
4.736	0.560	0.359
4.800	0.454	0.351
4.836	0.451	0.355
4.868	0.450	0.359
4.900	0.452	0.362
4.936	0.454	0.352
4.968	0.450	0.354
5.000	0.452	0.357
5.068	0.454	0.348
5.100	0.453	0.339
5.136	0.485	0.321
5.168	0.483	0.327
5.200	0.483	0.342
5.236	0.484	0.351
5.268	0.487	0.357
5.300	0.484	0.352
5.336	0.484	0.353
5.368	0.482	0.355
5.400	0.483	0.359
5.436	0.485	0.357
5.468	0.489	0.357
5.500	0.486	0.360
5.536	0.488	0.355
5.568	0.453	0.374
5.600	0.454	0.368
5.636	0.454	0.375
5.668	0.455	0.379
5.700	0.455	0.383
5.736	0.456	0.385
5.768	0.457	0.379
5.800	0.452	0.383
5.836	0.451	0.391
5.868	0.454	0.386
5.936	0.469	0.383
5.968	0.468	0.384
6.000	0.469	0.383
6.036	0.467	0.382
6.068	0.467	0.379
6.100	0.483	0.349
6.300	0.494	0.400
6.336	0.491	0.402
6.368	0.488	0.402
6.400	0.487	0.398
6.436	0.484	0.400
6.468	0.483	0.397
6.500	0.483	0.398
6.536	0.481	0.392
6.568	0.481	0.387
6.600	0.481	0.387
6.636	0.481	0.376
6.668	0.483	0.379
6.700	0.482	0.376
6.736	0.479	0.380
6.768	0.476	0.380
6.800	0.474	0.381
6.836	0.501	0.385
6.868	0.501	0.392
6.900	0.501	0.391
6.936	0.500	0.384
6.968	0.503	0.383
7.000	0.503	0.379
7.036	0.504	0.379
7.068	0.501	0.380
7.100	0.503	0.379
7.136	0.500	0.381
7.168	0.500	0.376
7.200	0.499	0.377
7.236	0.496	0.374
7.268	0.498	0.373
7.300	0.500	0.375
7.336	0.505	0.370
7.368	0.546	0.303
7.500	0.520	0.402
7.568	0.494	0.404
7.636	0.487	0.406
7.668	0.485	0.400
7.700	0.485	0.400
7.736	0.481	0.396
7.768	0.477	0.395
7.800	0.478	0.394
7.836	0.480	0.391
