time	event_type	event	left	right	bottom	top
31.400	stimulus	1a	0.283	0.384	0.412	0.582
43.400	stimulus	1b	0.616	0.718	0.412	0.582
51.400	stimulus	2a	0.283	0.384	0.412	0.582
62.400	stimulus	2b	0.616	0.718	0.412	0.582
69.400	stimulus	1a	0.283	0.384	0.412	0.582
76.400	stimulus	1b	0.616	0.718	0.412	0.582
83.400	stimulus	2a	0.283	0.384	0.412	0.582
89.400	stimulus	2b	0.616	0.718	0.412	0.582
94.400	stimulus	1a	0.283	0.384	0.412	0.582
99.400	stimulus	1b	0.616	0.718	0.412	0.582
105.400	stimulus	2a	0.283	0.384	0.412	0.582
112.400	stimulus	2b	0.616	0.718	0.412	0.582
121.400	stimulus	1a	0.283	0.384	0.412	0.582
128.400	stimulus	1b	0.616	0.718	0.412	0.582
136.400	stimulus	2a	0.283	0.384	0.412	0.582
147.400	stimulus	2b	0.616	0.718	0.412	0.582
153.400	stimulus	1a	0.283	0.384	0.412	0.582
161.400	stimulus	1b	0.616	0.718	0.412	0.582
171.400	stimulus	2a	0.283	0.384	0.412	0.582
179.400	stimulus	2b	0.616	0.718	0.412	0.582
184.400	stimulus	1a	0.283	0.384	0.412	0.582
192.400	stimulus	1b	0.616	0.718	0.412	0.582
204.400	stimulus	2a	0.283	0.384	0.412	0.582
215.400	stimulus	2b	0.616	0.718	0.412	0.582
221.400	stimulus	1a	0.283	0.384	0.412	0.582
226.400	stimulus	1b	0.616	0.718	0.412	0.582
235.400	stimulus	2a	0.283	0.384	0.412	0.582
247.400	stimulus	2b	0.616	0.718	0.412	0.582
254.400	stimulus	1a	0.283	0.384	0.412	0.582
264.400	stimulus	1b	0.616	0.718	0.412	0.582
270.400	stimulus	2a	0.283	0.384	0.412	0.582
279.400	stimulus	2b	0.616	0.718	0.412	0.582
289.400	stimulus	1a	0.283	0.384	0.412	0.582
295.400	stimulus	1b	0.616	0.718	0.412	0.582
303.400	stimulus	2a	0.283	0.384	0.412	0.582
312.400	stimulus	2b	0.616	0.718	0.412	0.582
320.400	stimulus	1a	0.283	0.384	0.412	0.582
331.400	stimulus	1b	0.616	0.718	0.412	0.582
31.400	virtual	S	NA	NA	NA	NA
33.800	response	R	NA	NA	NA	NA
35.732	response	R	NA	NA	NA	NA
38.000	response	R	NA	NA	NA	NA
40.468	response	R	NA	NA	NA	NA
43.100	response	R	NA	NA	NA	NA
44.700	response	R	NA	NA	NA	NA
46.900	response	R	NA	NA	NA	NA
48.564	response	R	NA	NA	NA	NA
50.532	response	R	NA	NA	NA	NA
52.132	response	R	NA	NA	NA	NA
