time	x_norm	y_norm
0.000	0.265	0.592
0.036	0.359	0.531
0.068	0.361	0.529
0.100	0.363	0.529
0.136	0.364	0.529
0.168	0.364	0.530
0.236	0.428	0.512
0.268	0.431	0.513
0.300	0.430	0.517
0.336	0.430	0.516
0.368	0.429	0.518
0.400	0.446	0.513
0.436	0.524	0.511
0.468	0.523	0.513
0.500	0.521	0.516
0.536	0.521	0.518
0.568	0.522	0.517
0.600	0.522	0.519
0.636	0.557	0.504
0.668	0.624	0.496
0.700	0.625	0.499
0.736	0.624	0.503
0.768	0.624	0.504
0.800	0.624	0.502
0.836	0.624	0.503
0.868	0.623	0.506
0.900	0.622	0.507
0.936	0.622	0.506
0.968	0.621	0.505
1.000	0.600	0.513
1.036	0.384	0.521
1.068	0.386	0.522
1.100	0.386	0.529
1.136	0.387	0.529
1.168	0.386	0.530
1.200	0.385	0.532
1.236	0.384	0.533
1.268	0.384	0.533
1.300	0.383	0.531
1.336	0.380	0.532
1.368	0.176	0.604
1.400	0.092	0.652
1.436	0.092	0.652
1.468	0.092	0.651
1.500	0.092	0.653
1.536	0.091	0.657
1.568	0.091	0.656
1.600	0.017	0.753
1.636	-0.013	0.851
1.700	-0.011	0.853
1.736	-0.010	0.856
1.768	-0.009	0.857
1.800	-0.009	0.856
1.836	-0.008	0.859
1.868	-0.044	0.997
1.900	-0.064	1.083
1.936	-0.061	1.083
1.968	-0.058	1.085
2.000	-0.057	1.086
2.036	-0.054	1.088
2.068	-0.052	1.085
2.100	-0.050	1.083
2.136	-0.050	1.077
2.168	-0.048	1.075
2.200	-0.046	1.072
2.236	-0.044	1.070
2.268	-0.020	1.075
2.300	-0.021	1.072
2.336	-0.020	1.070
2.368	-0.019	1.069
2.400	-0.017	1.068
2.436	-0.016	1.066
2.468	-0.015	1.066
2.500	-0.014	1.063
2.536	-0.013	1.063
2.568	-0.008	1.059
2.736	0.476	0.512
2.800	0.481	0.524
2.836	0.480	0.520
2.868	0.479	0.520
2.900	0.479	0.516
2.936	0.477	0.513
2.968	0.471	0.512
3.000	0.390	0.506
3.036	0.387	0.505
3.068	0.383	0.510
3.100	0.380	0.511
3.136	0.377	0.512
3.168	0.376	0.514
3.200	0.373	0.517
3.236	0.373	0.518
3.268	0.371	0.520
3.300	0.370	0.518
3.336	0.368	0.516
3.368	0.367	0.516
3.400	0.366	0.516
3.436	0.367	0.519
3.468	0.372	0.474
3.500	0.425	0.076
3.536	0.444	0.030
3.568	0.450	0.030
3.600	0.455	0.031
3.636	0.458	0.028
3.668	0.460	0.028
3.700	0.460	0.026
3.736	0.425	-0.000
3.768	0.426	0.000
3.800	0.428	0.001
3.836	0.429	0.002
3.868	0.430	0.003
3.900	0.430	0.003
3.936	0.430	0.004
3.968	0.431	0.004
4.000	0.431	0.006
4.036	0.492	0.004
4.068	0.496	0.004
4.100	0.497	0.004
4.136	0.497	0.003
4.168	0.497	0.004
4.200	0.497	0.005
4.236	0.550	-0.003
4.268	0.549	-0.007
4.300	0.548	-0.007
4.336	0.548	-0.007
4.368	0.549	-0.005
4.400	0.548	-0.004
4.436	0.549	-0.006
4.468	0.549	-0.008
4.500	0.531	0.056
4.536	0.408	0.446
4.568	0.412	0.445
4.600	0.416	0.451
4.636	0.421	0.453
4.668	0.423	0.455
4.700	0.425	0.458
4.736	0.426	0.459
4.768	0.354	0.502
4.800	0.356	0.502
4.836	0.356	0.507
4.868	0.357	0.508
4.900	0.357	0.509
4.936	0.358	0.512
4.968	0.313	0.544
5.036	0.161	0.738
5.068	0.161	0.739
5.100	0.162	0.743
5.136	0.164	0.746
5.168	0.164	0.746
5.200	0.165	0.743
5.236	0.166	0.742
5.268	0.089	0.865
5.300	0.038	0.969
5.336	0.039	0.973
5.368	0.041	0.976
5.400	0.043	0.980
5.436	0.043	0.979
5.468	0.193	0.958
5.500	0.414	0.917
5.568	0.409	0.920
5.600	0.408	0.920
5.636	0.407	0.922
5.700	0.740	0.987
5.736	0.829	1.012
5.768	0.833	1.011
5.800	0.834	1.016
5.836	0.835	1.023
5.868	0.834	1.029
5.900	0.976	1.057
5.936	1.008	1.065
5.968	1.010	1.067
6.000	1.010	1.067
6.036	1.011	1.070
6.068	1.011	1.070
6.100	1.011	1.069
6.136	1.012	1.071
6.168	1.013	1.070
6.200	1.053	0.702
6.236	0.973	0.120
6.268	0.929	-0.106
6.300	0.949	-0.108
6.336	0.957	-0.110
6.368	0.963	-0.114
6.400	0.968	-0.117
6.436	0.972	-0.121
6.468	0.974	-0.123
6.500	0.974	-0.124
6.536	0.957	-0.129
6.600	0.216	-0.198
6.636	0.043	-0.222
6.668	0.048	-0.219
6.700	0.052	-0.215
6.736	0.053	-0.211
6.768	0.054	-0.212
6.800	0.053	-0.209
6.836	0.053	-0.208
6.868	0.052	-0.205
6.900	0.052	-0.203
6.936	0.052	-0.200
6.968	0.190	0.084
7.000	0.453	0.435
7.036	0.492	0.472
7.068	0.497	0.475
7.100	0.501	0.480
7.136	0.502	0.481
7.168	0.504	0.480
7.200	0.504	0.481
7.236	0.506	0.489
7.268	0.523	0.870
7.300	0.525	1.030
7.336	0.533	1.026
7.368	0.538	1.028
7.400	0.540	1.034
7.436	0.542	1.036
7.468	0.543	1.036
7.500	0.546	1.033
7.536	0.546	1.035
7.568	0.548	1.032
7.600	0.550	1.031
7.636	0.551	1.030
7.668	0.551	1.027
7.700	0.552	1.027
7.736	0.555	1.025
7.768	0.556	1.013
7.800	0.475	0.670
7.836	0.490	0.607
7.868	0.496	0.603
7.900	0.502	0.600
7.936	0.505	0.598
7.968	0.509	0.596
8.000	0.511	0.599
8.036	0.512	0.601
8.068	0.512	0.602
8.100	0.473	0.493
8.136	0.478	0.494
8.168	0.478	0.495
8.200	0.480	0.501
8.236	0.480	0.504
8.268	0.480	0.503
8.300	0.480	0.505
8.368	0.480	0.507
8.400	0.479	0.508
8.436	0.479	0.508
8.468	0.479	0.508
8.500	0.478	0.509
8.536	0.477	0.509
8.568	0.476	0.510
8.600	0.476	0.510
8.636	0.496	0.495
8.800	0.470	0.581
8.836	0.466	0.566
8.868	0.464	0.556
8.900	0.461	0.551
8.936	0.458	0.548
8.968	0.456	0.544
9.000	0.454	0.538
9.036	0.453	0.534
9.068	0.421	0.541
9.100	0.381	0.539
9.136	0.379	0.539
9.168	0.380	0.537
9.200	0.378	0.538
9.236	0.378	0.539
9.268	0.379	0.539
9.300	0.378	0.541
9.336	0.379	0.541
9.368	0.380	0.544
9.400	0.381	0.543
9.436	0.383	0.543
9.468	0.382	0.543
9.500	0.384	0.543
9.536	0.385	0.545
9.568	0.385	0.540
9.600	0.385	0.537
9.636	0.386	0.539
9.668	0.386	0.541
9.700	0.386	0.543
9.736	0.385	0.541
9.768	0.363	0.550
9.800	0.356	0.548
9.836	0.353	0.546
9.868	0.353	0.544
9.900	0.356	0.540
9.936	0.355	0.538
9.968	0.355	0.539
10.000	0.354	0.539
10.036	0.356	0.539
10.068	0.356	0.537
10.100	0.388	0.520
10.136	0.388	0.523
10.168	0.388	0.522
10.200	0.388	0.522
10.236	0.388	0.519
10.268	0.387	0.521
10.300	0.392	0.519
10.336	0.418	0.533
10.368	0.418	0.531
10.400	0.417	0.528
10.436	0.417	0.534
10.468	0.417	0.541
10.500	0.417	0.547
10.536	0.415	0.549
10.568	0.416	0.546
10.600	0.415	0.542
10.636	0.417	0.541
10.668	0.417	0.538
10.700	0.416	0.541
10.736	0.416	0.542
10.768	0.433	0.533
10.800	0.441	0.533
10.836	0.442	0.532
10.868	0.443	0.533
10.900	0.444	0.533
10.936	0.445	0.536
10.968	0.466	0.525
11.000	0.476	0.522
11.036	0.479	0.519
11.068	0.481	0.515
11.100	0.480	0.515
11.136	0.480	0.515
11.168	0.479	0.512
11.200	0.479	0.512
11.236	0.479	0.513
11.268	0.478	0.515
11.300	0.478	0.515
11.336	0.476	0.515
11.368	0.475	0.512
11.400	0.475	0.515
11.436	0.475	0.512
11.468	0.475	0.516
11.500	0.474	0.517
11.536	0.474	0.517
11.568	0.474	0.518
11.600	0.476	0.519
11.636	0.500	0.519
11.700	0.500	0.523
11.736	0.500	0.523
11.768	0.501	0.523
11.800	0.501	0.523
11.836	0.502	0.523
11.868	0.502	0.523
11.900	0.503	0.522
11.936	0.504	0.517
11.968	0.504	0.516
12.000	0.503	0.516
12.036	0.504	0.517
12.068	0.504	0.519
12.100	0.504	0.521
12.136	0.503	0.523
12.168	0.501	0.523
12.200	0.501	0.522
12.236	0.501	0.522
12.268	0.500	0.523
12.300	0.439	0.549
12.336	0.436	0.569
12.468	0.343	0.593
12.500	0.340	0.581
12.536	0.336	0.570
12.568	0.334	0.561
12.600	0.331	0.553
12.636	0.330	0.548
12.668	0.350	0.536
12.700	0.362	0.535
12.736	0.364	0.531
12.768	0.365	0.530
12.800	0.364	0.524
12.836	0.363	0.523
12.868	0.363	0.524
12.900	0.361	0.527
12.936	0.360	0.530
12.968	0.388	0.525
13.000	0.387	0.525
13.036	0.385	0.528
13.068	0.387	0.524
13.100	0.386	0.525
13.136	0.385	0.526
13.168	0.386	0.528
13.200	0.387	0.531
13.236	0.477	0.504
13.268	0.561	0.487
13.300	0.564	0.486
13.336	0.564	0.489
13.368	0.565	0.492
13.400	0.566	0.493
13.436	0.566	0.493
13.468	0.567	0.493
13.500	0.567	0.493
13.536	0.567	0.493
13.568	0.567	0.493
13.600	0.567	0.492
13.636	0.567	0.494
13.668	0.566	0.489
13.700	0.564	0.489
13.736	0.564	0.491
13.768	0.564	0.491
13.800	0.564	0.489
13.836	0.564	0.488
13.868	0.564	0.488
13.900	0.535	0.507
13.936	0.493	0.535
13.968	0.493	0.534
14.000	0.492	0.535
14.036	0.491	0.538
14.068	0.489	0.538
14.100	0.489	0.539
14.136	0.489	0.538
14.168	0.489	0.538
14.200	0.391	0.560
14.236	0.384	0.560
14.268	0.381	0.561
14.300	0.381	0.560
14.336	0.382	0.558
14.368	0.382	0.558
14.400	0.377	0.522
14.436	0.377	0.513
14.468	0.376	0.508
14.500	0.378	0.507
14.536	0.381	0.498
14.568	0.382	0.488
14.600	0.381	0.474
14.736	0.413	0.440
14.768	0.411	0.451
14.800	0.412	0.467
14.836	0.415	0.483
14.868	0.417	0.495
14.900	0.419	0.506
14.936	0.420	0.512
14.968	0.422	0.518
15.036	0.426	0.522
15.068	0.459	0.512
15.100	0.466	0.515
15.136	0.468	0.513
15.168	0.469	0.514
15.200	0.469	0.519
15.236	0.472	0.524
15.268	0.472	0.529
15.300	0.473	0.533
15.336	0.473	0.532
15.368	0.471	0.533
15.400	0.474	0.533
15.436	0.474	0.533
15.468	0.477	0.538
15.500	0.478	0.540
15.536	0.480	0.553
15.568	0.478	0.585
15.600	0.474	0.606
15.636	0.473	0.634
15.668	0.470	0.636
15.700	0.462	0.639
15.736	0.457	0.640
15.768	0.488	0.650
15.800	0.488	0.629
15.836	0.488	0.620
15.868	0.491	0.617
15.900	0.492	0.610
15.936	0.490	0.593
15.968	0.486	0.577
16.000	0.484	0.567
16.036	0.484	0.557
16.068	0.483	0.549
16.100	0.481	0.545
16.136	0.480	0.543
16.168	0.487	0.538
16.200	0.488	0.532
16.236	0.488	0.527
16.268	0.487	0.524
16.300	0.488	0.520
16.336	0.488	0.518
16.368	0.489	0.514
16.400	0.489	0.518
16.436	0.493	0.517
16.600	0.501	0.587
16.632	0.497	0.573
16.668	0.494	0.559
16.700	0.491	0.550
16.732	0.489	0.547
16.768	0.488	0.544
16.800	0.488	0.541
16.832	0.488	0.536
16.868	0.489	0.532
16.900	0.488	0.531
16.932	0.488	0.535
16.968	0.488	0.538
17.000	0.487	0.540
17.032	0.486	0.540
17.068	0.484	0.541
17.100	0.485	0.540
17.132	0.484	0.539
17.168	0.484	0.537
17.200	0.483	0.537
17.232	0.484	0.539
17.268	0.484	0.531
17.300	0.484	0.519
17.332	0.485	0.518
17.368	0.486	0.516
17.400	0.486	0.513
17.432	0.487	0.510
17.468	0.488	0.509
17.500	0.472	0.518
