time	x_norm	y_norm
0.000	0.363	0.377
0.032	0.365	0.370
0.064	0.428	0.359
0.100	0.428	0.354
0.132	0.422	0.365
0.164	0.420	0.376
0.200	0.416	0.376
0.232	0.417	0.375
0.264	0.421	0.388
0.300	0.458	0.373
0.332	0.588	0.367
0.364	0.591	0.363
0.400	0.595	0.367
0.432	0.594	0.373
0.464	0.600	0.369
0.605	0.535	0.385
0.646	0.529	0.383
0.678	0.520	0.379
0.700	0.513	0.376
0.732	0.511	0.377
0.764	0.509	0.377
0.800	0.509	0.375
0.832	0.507	0.374
0.864	0.559	0.385
0.906	0.556	0.383
0.932	0.554	0.385
0.964	0.555	0.383
1.132	0.681	0.389
1.170	0.673	0.385
1.232	0.660	0.376
1.300	0.382	0.372
1.334	0.378	0.378
1.364	0.376	0.380
1.400	0.373	0.379
1.432	0.372	0.381
1.464	0.373	0.381
1.500	0.379	0.378
1.532	0.415	0.376
1.566	0.414	0.375
1.600	0.414	0.373
1.632	0.414	0.375
1.664	0.414	0.375
1.732	0.414	0.377
1.764	0.535	0.376
1.800	0.534	0.376
1.832	0.532	0.380
1.864	0.531	0.382
1.900	0.532	0.383
1.932	0.532	0.385
1.964	0.495	0.023
2.000	0.508	-0.142
2.032	0.507	-0.143
2.064	0.509	-0.141
2.100	0.479	0.069
2.143	0.469	0.352
2.173	0.469	0.360
2.200	0.469	0.371
2.232	0.470	0.373
2.264	0.471	0.377
2.300	0.469	0.376
2.332	0.469	0.375
2.364	0.468	0.378
2.400	0.470	0.375
2.432	0.468	0.376
2.464	0.470	0.379
2.500	0.470	0.377
2.532	0.470	0.374
2.564	0.469	0.376
2.600	0.469	0.376
2.632	0.468	0.377
2.664	0.469	0.377
2.700	0.460	0.379
2.732	0.390	0.387
2.767	0.387	0.392
2.800	0.387	0.391
2.832	0.387	0.393
2.864	0.388	0.390
2.900	0.387	0.389
2.932	0.386	0.388
2.964	0.423	0.382
3.001	0.473	0.383
3.039	0.473	0.384
3.064	0.473	0.386
3.100	0.474	0.388
3.132	0.473	0.388
3.164	0.504	0.387
3.208	0.572	0.394
3.237	0.572	0.397
3.264	0.571	0.396
3.300	0.571	0.399
3.332	0.571	0.400
3.364	0.572	0.401
3.400	0.572	0.398
3.432	0.704	0.397
3.468	0.701	0.396
3.500	0.699	0.401
3.532	0.697	0.402
3.608	0.385	0.347
3.644	0.383	0.349
3.671	0.378	0.354
3.700	0.377	0.358
3.732	0.376	0.363
3.764	0.376	0.360
3.800	0.376	0.361
3.832	0.376	0.364
3.864	0.409	0.352
3.911	0.513	0.344
3.945	0.512	0.346
3.972	0.515	0.349
4.000	0.514	0.350
4.032	0.514	0.347
4.064	0.515	0.346
4.100	0.516	0.350
4.132	0.515	0.347
4.164	0.519	0.348
4.200	0.561	0.351
4.232	0.560	0.349
4.264	0.557	0.351
4.300	0.556	0.351
4.332	0.561	0.353
4.364	0.650	0.355
4.402	0.649	0.355
4.432	0.649	0.360
4.464	0.648	0.365
4.500	0.650	0.366
4.532	0.650	0.366
4.564	0.477	0.303
4.600	0.480	0.307
4.632	0.478	0.311
4.664	0.477	0.315
4.700	0.475	0.316
4.732	0.476	0.316
4.764	0.478	0.318
4.800	0.578	0.315
4.835	0.576	0.312
4.864	0.577	0.316
4.900	0.576	0.314
4.932	0.578	0.314
4.964	0.578	0.317
5.000	0.578	0.315
5.064	0.514	0.342
5.100	0.513	0.342
5.132	0.511	0.348
5.164	0.510	0.346
5.200	0.511	0.345
5.232	0.513	0.343
5.264	0.513	0.344
5.300	0.511	0.339
5.332	0.511	0.338
5.364	0.511	0.335
5.400	0.511	0.336
5.432	0.513	0.333
5.464	0.455	0.351
5.502	0.428	0.362
5.538	0.426	0.362
5.564	0.427	0.366
5.600	0.397	0.373
5.641	0.347	0.388
5.686	0.345	0.396
5.712	0.345	0.401
5.740	0.345	0.401
5.766	0.349	0.395
5.903	0.395	0.417
5.946	0.392	0.411
5.976	0.383	0.410
6.004	0.381	0.409
6.032	0.379	0.405
6.064	0.482	0.390
6.100	0.524	0.383
6.132	0.523	0.386
6.164	0.522	0.388
6.200	0.523	0.389
6.232	0.522	0.391
6.264	0.519	0.390
6.300	0.491	0.385
6.332	0.490	0.384
6.364	0.486	0.385
6.400	0.486	0.388
6.432	0.488	0.391
6.464	0.622	0.396
6.500	0.620	0.393
6.532	0.616	0.398
6.564	0.617	0.400
6.600	0.615	0.406
6.678	0.713	0.413
6.716	0.710	0.417
6.736	0.710	0.421
6.764	0.707	0.420
6.800	0.707	0.420
6.832	0.677	0.415
6.873	0.676	0.411
6.900	0.676	0.415
6.969	0.369	0.337
7.000	0.368	0.341
7.032	0.366	0.347
7.064	0.364	0.352
7.100	0.363	0.354
7.132	0.362	0.358
7.164	0.361	0.357
7.200	0.362	0.355
7.232	0.448	0.351
7.267	0.446	0.353
7.300	0.447	0.355
7.332	0.448	0.359
7.364	0.447	0.358
7.400	0.448	0.357
7.464	0.560	0.358
7.512	0.559	0.359
7.539	0.559	0.361
7.567	0.558	0.362
7.600	0.559	0.362
7.632	0.559	0.360
7.664	0.559	0.363
7.700	0.559	0.363
7.732	0.561	0.363
7.764	0.659	0.359
7.832	0.672	0.366
7.864	0.674	0.372
7.900	0.673	0.377
7.932	0.674	0.378
7.964	0.674	0.377
8.000	0.672	0.376
8.032	0.673	0.376
8.064	0.672	0.376
8.100	0.672	0.376
8.132	0.690	0.372
8.234	0.710	0.370
8.264	0.710	0.368
8.300	0.711	0.371
8.332	0.713	0.370
8.400	0.716	0.368
8.470	0.410	0.386
8.504	0.406	0.382
8.532	0.406	0.384
8.564	0.403	0.388
8.600	0.341	0.390
8.635	0.346	0.392
8.664	0.347	0.390
8.700	0.346	0.394
8.732	0.346	0.394
8.764	0.347	0.396
8.800	0.347	0.394
8.832	0.348	0.394
8.864	0.461	0.397
8.903	0.456	0.396
8.932	0.457	0.395
8.964	0.484	0.367
9.064	0.465	0.384
9.105	0.460	0.411
9.146	0.454	0.406
9.176	0.446	0.401
9.204	0.494	0.391
9.243	0.496	0.389
9.271	0.495	0.392
9.300	0.494	0.396
9.332	0.494	0.392
9.364	0.492	0.392
9.400	0.491	0.392
9.432	0.555	0.401
9.467	0.557	0.402
9.500	0.554	0.406
9.532	0.555	0.405
9.564	0.554	0.407
9.600	0.553	0.407
9.632	0.552	0.410
9.664	0.552	0.410
9.700	0.552	0.410
9.732	0.611	0.409
9.771	0.609	0.412
9.800	0.610	0.412
9.832	0.611	0.415
9.864	0.611	0.414
9.900	0.612	0.415
9.932	0.611	0.418
9.964	0.502	0.405
10.017	0.486	0.405
10.052	0.482	0.405
10.070	0.482	0.406
10.100	0.481	0.409
10.132	0.481	0.413
10.164	0.479	0.413
10.200	0.482	0.410
10.232	0.481	0.409
10.264	0.557	0.409
10.303	0.556	0.411
10.332	0.555	0.413
10.364	0.555	0.414
10.400	0.561	0.414
10.432	0.709	0.405
10.474	0.707	0.406
10.506	0.707	0.411
10.537	0.707	0.411
10.566	0.709	0.411
10.600	0.626	0.413
10.639	0.630	0.413
10.664	0.632	0.414
10.700	0.632	0.414
10.732	0.629	0.409
10.764	0.631	0.411
10.800	0.629	0.415
10.832	0.628	0.415
10.864	0.580	0.409
10.902	0.577	0.413
10.932	0.576	0.413
10.964	0.295	0.344
11.000	0.303	0.349
11.032	0.304	0.352
11.064	0.303	0.358
11.100	0.303	0.361
11.132	0.302	0.364
11.164	0.341	0.363
11.200	0.341	0.364
11.232	0.340	0.362
11.264	0.339	0.362
11.300	0.340	0.360
11.332	0.344	0.359
11.364	0.395	0.367
11.400	0.396	0.370
11.432	0.396	0.366
11.464	0.395	0.369
11.500	0.395	0.370
11.532	0.394	0.370
11.564	0.524	0.364
11.614	0.522	0.366
11.641	0.521	0.371
11.665	0.522	0.371
11.732	0.521	0.372
11.764	0.521	0.371
11.800	0.481	0.367
11.832	0.447	0.364
11.865	0.446	0.364
11.900	0.447	0.368
11.932	0.446	0.368
11.964	0.445	0.369
12.000	0.445	0.368
12.032	0.706	0.358
12.064	0.698	0.359
12.100	0.694	0.367
12.132	0.693	0.373
12.164	0.693	0.373
12.200	0.693	0.376
12.232	0.674	0.368
12.281	0.627	0.364
12.310	0.626	0.365
12.332	0.626	0.366
12.364	0.627	0.366
12.400	0.558	0.337
12.444	0.533	0.322
12.479	0.531	0.323
12.506	0.529	0.327
12.532	0.527	0.326
12.564	0.526	0.326
12.600	0.526	0.329
12.632	0.526	0.325
12.664	0.527	0.325
12.700	0.529	0.327
12.732	0.529	0.323
12.764	0.529	0.327
12.800	0.530	0.327
12.832	0.495	0.362
12.868	0.469	0.394
12.900	0.468	0.397
12.932	0.466	0.402
12.964	0.467	0.402
13.000	0.464	0.404
13.032	0.465	0.402
13.064	0.505	0.410
13.100	0.530	0.415
13.154	0.529	0.417
13.180	0.530	0.420
13.200	0.538	0.418
13.306	0.619	0.431
13.343	0.611	0.440
13.375	0.622	0.421
13.514	0.605	0.437
13.572	0.603	0.434
13.602	0.598	0.428
13.632	0.596	0.429
13.661	0.593	0.429
13.682	0.448	0.410
13.714	0.450	0.417
13.742	0.446	0.417
13.772	0.447	0.418
13.800	0.445	0.418
13.832	0.445	0.415
13.864	0.444	0.419
13.900	0.445	0.420
13.932	0.443	0.419
13.964	0.444	0.420
14.000	0.441	0.419
14.032	0.440	0.421
